12-18 21:39:33.936  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up start 1418956773 944
12-18 21:39:33.941  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up -end- 1418956773 944
12-18 21:39:33.941  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db start 1418956773 949
12-18 21:39:33.946  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db -end- 1418956773 952
12-18 21:39:33.946  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it start 1418956773 952
12-18 21:39:33.946  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it -end- 1418956773 952

12-18 21:39:34.066  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up start 1418956774 074
12-18 21:39:34.071  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up -end- 1418956774 075
12-18 21:39:34.071  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db start 1418956774 078
12-18 21:39:34.076  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db -end- 1418956774 081
12-18 21:39:34.076  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it start 1418956774 082
12-18 21:39:34.396  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it -end- 1418956774 402

12-18 21:39:34.446  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up start 1418956774 453
12-18 21:39:34.446  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ up -end- 1418956774 454
12-18 21:39:34.456  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db start 1418956774 460
12-18 21:39:34.456  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ db -end- 1418956774 463
12-18 21:39:34.456  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it start 1418956774 463
12-18 21:39:34.456  30108-30150/fr.vpm.audiorss D/upRSSChannel﹕ it -end- 1418956774 463

12-18 21:39:34.751  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ up start 1418956774 755
12-18 21:39:34.751  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ up -end- 1418956774 755
12-18 21:39:34.751  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ db start 1418956774 758
12-18 21:39:34.756  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ db -end- 1418956774 761
12-18 21:39:34.756  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ it start 1418956774 761
12-18 21:39:37.141  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ it -end- 1418956777 149

12-18 21:39:37.216  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ up start 1418956777 220
12-18 21:39:37.216  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ up -end- 1418956777 220
12-18 21:39:37.221  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ db start 1418956777 225
12-18 21:39:37.221  30108-30129/fr.vpm.audiorss D/upRSSChannel﹕ db -end- 1418956777 228
